"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","cy.focused() - get the DOM element that has focus","Misc","2026-02-01","passed","2026-02-01","","","",""
"","70","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-02-01","passed","2026-02-01","","Cypress.Screenshot","",""
"","198","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-02-01","passed","2026-02-01","","","",""
"","257","can filter for uncompleted tasks","example to-do app","2026-02-01","passed","2026-02-01","","with a checked task","",""
"","189","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-01","passed","2026-02-01","","","",""
"","469","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-02-01","passed","2026-02-01","","","",""
"","87",".next() - get next sibling DOM element","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","333","cy.visit() - visit a remote url","Navigation","2026-02-01","passed","2026-02-01","","","",""
"","93",".prevAll() - get all previous sibling DOM elements","Traversal","2026-02-01","passed","2026-02-01","","","",""
"","84","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-02-01","passed","2026-02-01","","","",""
"","164","cy.writeFile() - write to a file","Files","2026-02-01","passed","2026-02-01","","","",""
"","119",".focus() - focus on a DOM element","Actions","2026-02-01","passed","2026-02-01","","","",""
"","103","cy.location() - get window.location","Location","2026-02-01","passed","2026-02-01","","","",""
"","74","Get current spec information","Cypress APIs","2026-02-01","passed","2026-02-01","","Cypress.spec","",""
"","29","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-02-01","passed","2026-02-01","","","",""
"","98","Get CPU architecture name of underlying OS","Cypress APIs","2026-02-01","passed","2026-02-01","","Cypress.arch","",""
"","398","can add new todo items","example to-do app","2026-02-01","passed","2026-02-01","","","",""
"","4434","cy.wait() - wait for a specific amount of time","Waiting","2026-02-01","passed","2026-02-01","","","",""
